soc_code,occupation_title,employment_2024,employment_2034,employment_change_numeric,employment_change_percent,annual_openings_avg,percent_self_employed,typical_education,work_experience,typical_training,annual_median,annual_mean,annual_pct10,annual_pct25,annual_pct75,annual_pct90,hourly_median,hourly_mean,hourly_pct10,hourly_pct25,hourly_pct75,hourly_pct90,total_employment_oews,oews_occupation_title
39-3091,Amusement and recreation attendants,392.3,405.5,13.2,3.4,102.4,1.1,No formal educational credential,,Short-term on-the-job training,30490.0,31350.0,21940.0,26430.0,35360.0,39940.0,14.66,15.07,10.55,12.71,17.0,19.2,371590.0,Amusement and Recreation Attendants
39-3092,Costume attendants,6.7,7.1,0.4,5.9,1.8,1.2,High school diploma or equivalent,,Short-term on-the-job training,54810.0,65890.0,33610.0,39240.0,83090.0,115240.0,26.35,31.68,16.16,18.86,39.95,55.4,6290.0,Costume Attendants
39-3093,"Locker room, coatroom, and dressing room attendants",15.6,16.6,1.0,6.4,4.2,1.2,High school diploma or equivalent,,Short-term on-the-job training,34800.0,36490.0,23530.0,29120.0,41530.0,50790.0,16.73,17.54,11.31,14.0,19.97,24.42,14960.0,"Locker Room, Coatroom, and Dressing Room Attendants"
39-3099,"Entertainment attendants and related workers, all other",8.5,8.8,0.3,3.6,2.2,1.1,High school diploma or equivalent,,Short-term on-the-job training,34550.0,36180.0,22700.0,28180.0,40360.0,52860.0,16.61,17.4,10.91,13.55,19.4,25.41,8060.0,"Entertainment Attendants and Related Workers, All Other"
39-4011,Embalmers,3.6,3.7,0.0,1.3,0.6,4.8,Associate's degree,,Long-term on-the-job training,56280.0,57520.0,35160.0,46160.0,64760.0,78740.0,27.06,27.65,16.9,22.19,31.13,37.86,3420.0,Embalmers
39-4012,Crematory operators,3.1,3.2,0.1,3.3,0.6,4.8,High school diploma or equivalent,,Short-term on-the-job training,42880.0,44790.0,31970.0,35890.0,49800.0,60260.0,20.62,21.53,15.37,17.25,23.94,28.97,2950.0,Crematory Operators
39-4021,Funeral attendants,32.5,33.5,1.0,3.1,5.7,4.8,High school diploma or equivalent,,Short-term on-the-job training,34610.0,35900.0,26820.0,29420.0,39230.0,46690.0,16.64,17.26,12.89,14.14,18.86,22.45,30560.0,Funeral Attendants
39-4031,"Morticians, undertakers, and funeral arrangers",27.5,28.4,0.8,3.1,3.2,5.0,Associate's degree,,Long-term on-the-job training,49800.0,56340.0,31470.0,38470.0,67140.0,85940.0,23.94,27.09,15.13,18.49,32.28,41.32,25700.0,"Morticians, Undertakers, and Funeral Arrangers"
39-5011,Barbers,76.0,79.2,3.1,4.1,8.4,75.6,Postsecondary nondegree award,,,38960.0,47800.0,27770.0,32050.0,59180.0,78440.0,18.73,22.98,13.35,15.41,28.45,37.71,18100.0,Barbers
39-5012,"Hairdressers, hairstylists, and cosmetologists",575.2,607.4,32.2,5.6,75.8,47.6,Postsecondary nondegree award,,,35250.0,43460.0,24580.0,29060.0,48300.0,70220.0,16.95,20.89,11.82,13.97,23.22,33.76,295460.0,"Hairdressers, Hairstylists, and Cosmetologists"
39-5091,"Makeup artists, theatrical and performance",7.0,7.6,0.6,8.1,1.1,50.3,Postsecondary nondegree award,,,50280.0,75410.0,22010.0,28850.0,132530.0,157090.0,24.17,36.25,10.58,13.87,63.72,75.52,3320.0,"Makeup Artists, Theatrical and Performance"
39-5092,Manicurists and pedicurists,210.1,224.8,14.7,7.0,24.8,28.0,Postsecondary nondegree award,,,34660.0,36910.0,27910.0,31510.0,37660.0,47990.0,16.66,17.74,13.42,15.15,18.11,23.07,147820.0,Manicurists and Pedicurists
39-5093,Shampooers,18.5,19.6,1.0,5.5,2.7,50.9,No formal educational credential,,Short-term on-the-job training,31470.0,30830.0,22880.0,27390.0,35610.0,35970.0,15.13,14.82,11.0,13.17,17.12,17.3,8890.0,Shampooers
39-5094,Skincare specialists,97.4,103.9,6.6,6.7,14.5,26.4,Postsecondary nondegree award,,,41560.0,48670.0,27160.0,34130.0,55860.0,77330.0,19.98,23.4,13.06,16.41,26.86,37.18,70240.0,Skincare Specialists
39-6011,Baggage porters and bellhops,32.5,32.0,-0.5,-1.6,4.6,,High school diploma or equivalent,,Short-term on-the-job training,36020.0,36960.0,25480.0,29830.0,40780.0,48490.0,17.32,17.77,12.25,14.34,19.61,23.31,31220.0,Baggage Porters and Bellhops
39-6012,Concierges,45.6,46.7,1.1,2.3,6.8,,High school diploma or equivalent,,Moderate-term on-the-job training,37320.0,40770.0,30770.0,33860.0,45700.0,58050.0,17.94,19.6,14.79,16.28,21.97,27.91,44200.0,Concierges
39-7010,Tour and travel guides,55.8,60.3,4.5,8.1,13.0,9.8,High school diploma or equivalent,,Moderate-term on-the-job training,36660.0,43090.0,26890.0,31250.0,45910.0,59930.0,17.63,20.72,12.93,15.03,22.07,28.81,49010.0,Tour and Travel Guides
39-9011,Childcare workers,991.6,962.4,-29.2,-2.9,160.2,21.2,High school diploma or equivalent,,Short-term on-the-job training,32050.0,33140.0,22900.0,28000.0,36960.0,44560.0,15.41,15.93,11.01,13.46,17.77,21.42,520180.0,Childcare Workers
39-9031,Exercise trainers and group fitness instructors,370.1,414.2,44.1,11.9,74.2,14.3,High school diploma or equivalent,,Short-term on-the-job training,46180.0,51360.0,27580.0,34090.0,60920.0,82050.0,22.2,24.69,13.26,16.39,29.29,39.45,303620.0,Exercise Trainers and Group Fitness Instructors
39-9032,Recreation workers,327.7,341.1,13.4,4.1,68.1,0.4,High school diploma or equivalent,,Short-term on-the-job training,35380.0,37170.0,25640.0,30460.0,41120.0,49460.0,17.01,17.87,12.33,14.65,19.77,23.78,309640.0,Recreation Workers
39-9041,Residential advisors,91.2,94.7,3.5,3.8,17.4,2.2,High school diploma or equivalent,,Short-term on-the-job training,39180.0,41590.0,28490.0,33890.0,47590.0,58350.0,18.84,19.99,13.7,16.29,22.88,28.05,82810.0,Residential Advisors
39-9099,"Personal care and service workers, all other",94.4,100.4,6.0,6.4,16.1,26.1,High school diploma or equivalent,,Short-term on-the-job training,37900.0,37990.0,24980.0,32450.0,39190.0,49300.0,18.22,18.27,12.01,15.6,18.84,23.7,62390.0,"Personal Care and Service Workers, All Other"
41-1011,First-line supervisors of retail sales workers,1432.6,1360.3,-72.3,-5.0,125.1,22.5,High school diploma or equivalent,Less than 5 years,,47320.0,52350.0,31120.0,37580.0,60510.0,76560.0,22.75,25.17,14.96,18.07,29.09,36.81,1113160.0,First-Line Supervisors of Retail Sales Workers
41-1012,First-line supervisors of non-retail sales workers,320.0,320.0,0.0,0.0,24.8,30.0,High school diploma or equivalent,Less than 5 years,,84130.0,97870.0,48880.0,62730.0,118190.0,162120.0,40.45,47.06,23.5,30.16,56.82,77.94,219010.0,First-Line Supervisors of Non-Retail Sales Workers
41-2011,Cashiers,3157.2,2843.6,-313.6,-9.9,542.6,0.2,No formal educational credential,,Short-term on-the-job training,31190.0,31810.0,23070.0,27780.0,35410.0,38220.0,14.99,15.29,11.09,13.36,17.02,18.37,3148030.0,Cashiers
41-2012,Gambling change persons and booth cashiers,22.6,21.1,-1.5,-6.4,4.0,,No formal educational credential,,Short-term on-the-job training,34810.0,36820.0,22810.0,28870.0,39350.0,49190.0,16.74,17.7,10.96,13.88,18.92,23.65,21930.0,Gambling Change Persons and Booth Cashiers
41-2021,Counter and rental clerks,408.2,421.3,13.1,3.2,45.9,0.9,No formal educational credential,,Short-term on-the-job training,38540.0,43700.0,28580.0,34200.0,48290.0,62030.0,18.53,21.01,13.74,16.44,23.22,29.82,398620.0,Counter and Rental Clerks
41-2022,Parts salespersons,272.1,280.6,8.5,3.1,30.2,1.6,No formal educational credential,,Moderate-term on-the-job training,37440.0,42390.0,27770.0,30630.0,48410.0,61750.0,18.0,20.38,13.35,14.73,23.27,29.69,265060.0,Parts Salespersons
41-2031,Retail salespersons,3936.7,3917.1,-19.6,-0.5,555.8,4.0,No formal educational credential,,Short-term on-the-job training,34580.0,37150.0,25600.0,29140.0,37850.0,47930.0,16.62,17.86,12.31,14.01,18.2,23.05,3800250.0,Retail Salespersons
41-3011,Advertising sales agents,103.7,97.1,-6.6,-6.4,9.3,5.3,High school diploma or equivalent,,Moderate-term on-the-job training,61460.0,76350.0,33480.0,44980.0,91430.0,133540.0,29.55,36.71,16.09,21.63,43.96,64.2,97470.0,Advertising Sales Agents
41-3021,Insurance sales agents,568.8,589.8,21.1,3.7,47.0,12.5,High school diploma or equivalent,,Moderate-term on-the-job training,60370.0,81510.0,36390.0,45520.0,91150.0,135660.0,29.02,39.19,17.5,21.88,43.82,65.22,469480.0,Insurance Sales Agents
41-3031,"Securities, commodities, and financial services sales agents",514.5,531.6,17.1,3.3,38.1,6.6,Bachelor's degree,,Moderate-term on-the-job training,78140.0,110400.0,47080.0,51600.0,129480.0,215210.0,37.57,53.08,22.63,24.81,62.25,103.47,472300.0,"Securities, Commodities, and Financial Services Sales Agents"
41-3041,Travel agents,65.7,67.2,1.4,2.2,7.1,11.2,High school diploma or equivalent,,Moderate-term on-the-job training,48450.0,52690.0,33280.0,38760.0,60880.0,74160.0,23.29,25.33,16.0,18.64,29.27,35.65,59150.0,Travel Agents
41-3091,"Sales representatives of services, except advertising, insurance, financial services, and travel",1226.7,1264.7,37.9,3.1,123.0,2.1,High school diploma or equivalent,,Moderate-term on-the-job training,66260.0,81260.0,36930.0,47120.0,98780.0,142040.0,31.86,39.07,17.76,22.65,47.49,68.29,1189330.0,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel"
41-4011,"Sales representatives, wholesale and manufacturing, technical and scientific products",303.2,308.9,5.7,1.9,27.2,2.1,Bachelor's degree,,Moderate-term on-the-job training,100070.0,114520.0,48840.0,65640.0,146150.0,194890.0,48.11,55.06,23.48,31.56,70.26,93.7,293930.0,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
41-4012,"Sales representatives, wholesale and manufacturing, except technical and scientific products",1310.5,1314.9,4.4,0.3,114.8,2.1,High school diploma or equivalent,,Moderate-term on-the-job training,66780.0,81470.0,37860.0,49040.0,97570.0,134470.0,32.11,39.17,18.2,23.58,46.91,64.65,1266860.0,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
41-9011,Demonstrators and product promoters,79.2,79.1,-0.1,-0.1,14.0,18.2,No formal educational credential,,Short-term on-the-job training,37960.0,43730.0,30910.0,33860.0,50100.0,60320.0,18.25,21.03,14.86,16.28,24.09,29.0,64770.0,Demonstrators and Product Promoters
41-9012,Models,6.7,6.7,0.0,-0.5,1.2,16.3,No formal educational credential,,,89990.0,81540.0,38010.0,45760.0,89990.0,124380.0,43.26,39.2,18.27,22.0,43.26,59.8,5350.0,Models
41-9021,Real estate brokers,111.3,115.0,3.7,3.3,9.7,54.5,High school diploma or equivalent,Less than 5 years,,72280.0,91660.0,36920.0,48200.0,114220.0,166730.0,34.75,44.07,17.75,23.17,54.91,80.16,49590.0,Real Estate Brokers
41-9022,Real estate sales agents,420.9,433.7,12.8,3.1,36.6,53.7,High school diploma or equivalent,,Moderate-term on-the-job training,56320.0,70970.0,31940.0,38940.0,85440.0,125140.0,27.08,34.12,15.36,18.72,41.08,60.16,190600.0,Real Estate Sales Agents
41-9031,Sales engineers,56.8,59.9,3.1,5.5,5.0,,Bachelor's degree,,Moderate-term on-the-job training,121520.0,130410.0,70580.0,90690.0,159200.0,202670.0,58.42,62.7,33.93,43.6,76.54,97.44,56690.0,Sales Engineers
41-9041,Telemarketers,67.4,52.5,-14.9,-22.1,6.5,0.6,No formal educational credential,,Short-term on-the-job training,34410.0,36340.0,24620.0,29120.0,38640.0,48930.0,16.54,17.47,11.84,14.0,18.58,23.52,66430.0,Telemarketers
41-9091,"Door-to-door sales workers, news and street vendors, and related workers",25.3,22.8,-2.5,-10.0,2.7,81.8,No formal educational credential,,Short-term on-the-job training,34530.0,39890.0,23440.0,31200.0,42970.0,55970.0,16.6,19.18,11.27,15.0,20.66,26.91,4590.0,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
41-9099,"Sales and related workers, all other",122.6,127.1,4.5,3.7,16.0,14.8,High school diploma or equivalent,,,46370.0,57030.0,28060.0,35040.0,66240.0,95850.0,22.29,27.42,13.49,16.85,31.85,46.08,99070.0,"Sales and Related Workers, All Other"
43-1011,First-line supervisors of office and administrative support workers,1558.4,1554.4,-3.9,-0.3,144.5,0.7,High school diploma or equivalent,Less than 5 years,,66140.0,71560.0,43920.0,53190.0,82340.0,102980.0,31.8,34.4,21.12,25.57,39.59,49.51,1495580.0,First-Line Supervisors of Office and Administrative Support Workers
43-2011,"Switchboard operators, including answering service",36.6,27.0,-9.6,-26.3,2.8,,High school diploma or equivalent,,Short-term on-the-job training,38370.0,42130.0,29820.0,34250.0,46330.0,60940.0,18.45,20.26,14.34,16.47,22.27,29.3,35730.0,"Switchboard Operators, Including Answering Service"
43-2021,Telephone operators,4.0,2.9,-1.1,-27.5,0.3,,High school diploma or equivalent,,Short-term on-the-job training,39130.0,42880.0,31440.0,35860.0,48530.0,57510.0,18.81,20.62,15.11,17.24,23.33,27.65,3950.0,Telephone Operators
43-2099,"Communications equipment operators, all other",1.4,1.5,0.0,2.5,0.1,,High school diploma or equivalent,,Short-term on-the-job training,49910.0,55890.0,35980.0,44620.0,64310.0,89110.0,24.0,26.87,17.3,21.45,30.92,42.84,1390.0,"Communications Equipment Operators, All Other"
43-3011,Bill and account collectors,166.9,149.4,-17.5,-10.5,13.7,0.2,High school diploma or equivalent,,Moderate-term on-the-job training,46040.0,48370.0,33960.0,38290.0,54990.0,65830.0,22.14,23.25,16.33,18.41,26.44,31.65,165020.0,Bill and Account Collectors
43-3021,Billing and posting clerks,429.8,427.9,-1.9,-0.4,42.2,0.8,High school diploma or equivalent,,Moderate-term on-the-job training,47170.0,49490.0,35760.0,40260.0,56350.0,64990.0,22.68,23.8,17.19,19.35,27.09,31.25,417500.0,Billing and Posting Clerks
43-3031,"Bookkeeping, accounting, and auditing clerks",1613.4,1519.1,-94.3,-5.8,170.0,5.2,"Some college, no degree",,Moderate-term on-the-job training,49210.0,52020.0,34600.0,41390.0,60220.0,72660.0,23.66,25.01,16.64,19.9,28.95,34.94,1455770.0,"Bookkeeping, Accounting, and Auditing Clerks"
43-3041,Gambling cage workers,14.1,13.4,-0.7,-5.0,1.3,1.6,High school diploma or equivalent,,Short-term on-the-job training,36990.0,38600.0,27940.0,31870.0,43840.0,49350.0,17.78,18.56,13.43,15.32,21.08,23.72,13490.0,Gambling Cage Workers
43-3051,Payroll and timekeeping clerks,161.1,134.2,-27.0,-16.7,13.0,0.9,High school diploma or equivalent,,Moderate-term on-the-job training,55290.0,56870.0,36670.0,45440.0,65750.0,78830.0,26.58,27.34,17.63,21.85,31.61,37.9,156950.0,Payroll and Timekeeping Clerks
43-3061,Procurement clerks,61.9,56.6,-5.4,-8.7,4.6,,High school diploma or equivalent,,Moderate-term on-the-job training,48510.0,50430.0,36810.0,41240.0,57680.0,65890.0,23.32,24.25,17.7,19.83,27.73,31.68,59900.0,Procurement Clerks
43-3071,Tellers,347.4,302.5,-44.9,-12.9,29.8,,High school diploma or equivalent,,Short-term on-the-job training,39340.0,40940.0,31270.0,36420.0,45550.0,48270.0,18.91,19.68,15.04,17.51,21.9,23.21,339340.0,Tellers
43-3099,"Financial clerks, all other",38.9,39.4,0.5,1.4,4.0,2.7,High school diploma or equivalent,,Short-term on-the-job training,52150.0,55330.0,38770.0,46350.0,61190.0,75860.0,25.07,26.6,18.64,22.28,29.42,36.47,37030.0,"Financial Clerks, All Other"
43-4011,Brokerage clerks,40.8,36.9,-3.9,-9.5,4.1,,High school diploma or equivalent,,Moderate-term on-the-job training,62940.0,67680.0,47730.0,53880.0,77400.0,91650.0,30.26,32.54,22.95,25.9,37.21,44.06,40090.0,Brokerage Clerks
43-4021,Correspondence clerks,6.9,6.5,-0.4,-5.6,0.7,5.1,High school diploma or equivalent,,Short-term on-the-job training,46740.0,46610.0,33530.0,38510.0,52480.0,62200.0,22.47,22.41,16.12,18.51,25.23,29.9,6260.0,Correspondence Clerks
43-4031,"Court, municipal, and license clerks",180.4,185.9,5.5,3.0,18.5,1.0,High school diploma or equivalent,,Long-term on-the-job training,47700.0,51200.0,34860.0,39730.0,59590.0,72370.0,22.93,24.61,16.76,19.1,28.65,34.8,170010.0,"Court, Municipal, and License Clerks"
43-4041,"Credit authorizers, checkers, and clerks",12.0,11.3,-0.7,-6.2,1.0,,High school diploma or equivalent,,Moderate-term on-the-job training,49130.0,51270.0,34590.0,40850.0,59530.0,71730.0,23.62,24.65,16.63,19.64,28.62,34.49,11960.0,"Credit Authorizers, Checkers, and Clerks"
43-4051,Customer service representatives,2814.0,2660.3,-153.7,-5.5,341.7,0.8,High school diploma or equivalent,,Short-term on-the-job training,42830.0,45380.0,30690.0,35970.0,50140.0,62730.0,20.59,21.82,14.75,17.29,24.11,30.16,2725930.0,Customer Service Representatives
43-4061,"Eligibility interviewers, government programs",166.8,168.5,1.7,1.0,14.0,0.3,High school diploma or equivalent,,Moderate-term on-the-job training,51500.0,53970.0,37690.0,43850.0,61680.0,72280.0,24.76,25.95,18.12,21.08,29.65,34.75,156260.0,"Eligibility Interviewers, Government Programs"
43-4071,File clerks,84.3,70.9,-13.4,-15.9,7.3,2.9,High school diploma or equivalent,,Short-term on-the-job training,41270.0,43700.0,29620.0,35120.0,50020.0,61080.0,19.84,21.01,14.24,16.88,24.05,29.36,78980.0,File Clerks
43-4081,"Hotel, motel, and resort desk clerks",264.2,274.0,9.9,3.7,43.6,,High school diploma or equivalent,,Short-term on-the-job training,34270.0,34740.0,26600.0,29210.0,37430.0,44720.0,16.48,16.7,12.79,14.05,17.99,21.5,261430.0,"Hotel, Motel, and Resort Desk Clerks"
43-4111,"Interviewers, except eligibility and loan",164.3,145.1,-19.1,-11.6,15.8,0.6,High school diploma or equivalent,,Short-term on-the-job training,43830.0,45400.0,31980.0,37380.0,50440.0,60960.0,21.07,21.83,15.38,17.97,24.25,29.31,157310.0,"Interviewers, Except Eligibility and Loan"
43-4121,"Library assistants, clerical",84.5,78.9,-5.6,-6.7,12.8,,High school diploma or equivalent,,Short-term on-the-job training,36010.0,37910.0,25090.0,30190.0,44200.0,52790.0,17.31,18.22,12.06,14.52,21.25,25.38,80070.0,"Library Assistants, Clerical"
43-4131,Loan interviewers and clerks,177.6,173.5,-4.1,-2.3,13.3,0.9,High school diploma or equivalent,,Short-term on-the-job training,48950.0,51050.0,36360.0,42720.0,59520.0,65910.0,23.53,24.54,17.48,20.54,28.61,31.69,173100.0,Loan Interviewers and Clerks
43-4141,New accounts clerks,38.9,33.8,-5.2,-13.2,2.3,,High school diploma or equivalent,,Moderate-term on-the-job training,46610.0,47610.0,36980.0,40050.0,51510.0,60110.0,22.41,22.89,17.78,19.26,24.77,28.9,38030.0,New Accounts Clerks
43-4151,Order clerks,89.5,74.1,-15.4,-17.2,8.0,5.5,"Some college, no degree",,Short-term on-the-job training,44660.0,46270.0,33530.0,38110.0,51890.0,61680.0,21.47,22.24,16.12,18.32,24.95,29.66,83420.0,Order Clerks
43-4161,"Human resources assistants, except payroll and timekeeping",95.2,88.4,-6.8,-7.1,9.0,0.3,Associate's degree,,,49440.0,50950.0,36090.0,42360.0,58560.0,67140.0,23.77,24.5,17.35,20.36,28.16,32.28,92580.0,"Human Resources Assistants, Except Payroll and Timekeeping"
43-4171,Receptionists and information clerks,1007.2,1007.6,0.3,0.0,128.5,0.6,High school diploma or equivalent,,Short-term on-the-job training,37230.0,38480.0,28280.0,32660.0,44070.0,48870.0,17.9,18.5,13.6,15.7,21.19,23.49,964530.0,Receptionists and Information Clerks
43-4181,Reservation and transportation ticket agents and travel clerks,131.9,135.6,3.7,2.8,14.4,3.0,High school diploma or equivalent,,Short-term on-the-job training,41460.0,47720.0,34550.0,37200.0,54930.0,75050.0,19.94,22.94,16.61,17.89,26.41,36.08,127440.0,Reservation and Transportation Ticket Agents and Travel Clerks
43-4199,"Information and record clerks, all other",153.3,153.0,-0.3,-0.2,17.8,,High school diploma or equivalent,,Short-term on-the-job training,48360.0,50200.0,34170.0,39610.0,58680.0,68850.0,23.25,24.14,16.43,19.05,28.21,33.1,143910.0,"Information and Record Clerks, All Other"
43-5011,Cargo and freight agents,100.6,109.2,8.6,8.5,8.8,1.2,High school diploma or equivalent,,Short-term on-the-job training,49900.0,55420.0,37240.0,43490.0,62230.0,76350.0,23.99,26.64,17.9,20.91,29.92,36.71,97800.0,Cargo and Freight Agents
43-5021,Couriers and messengers,247.2,267.6,20.4,8.2,27.9,70.2,High school diploma or equivalent,,Short-term on-the-job training,38340.0,40060.0,29880.0,35130.0,44630.0,50590.0,18.43,19.26,14.37,16.89,21.46,24.32,71920.0,Couriers and Messengers
43-5031,Public safety telecommunicators,105.2,108.9,3.6,3.5,10.7,,High school diploma or equivalent,,Moderate-term on-the-job training,50730.0,54800.0,35640.0,42140.0,62840.0,78110.0,24.39,26.35,17.13,20.26,30.21,37.55,101140.0,Public Safety Telecommunicators
43-5032,"Dispatchers, except police, fire, and ambulance",218.7,216.7,-2.1,-0.9,18.5,2.7,High school diploma or equivalent,,Moderate-term on-the-job training,48880.0,53150.0,34600.0,40240.0,61520.0,76130.0,23.5,25.55,16.64,19.35,29.58,36.6,211000.0,"Dispatchers, Except Police, Fire, and Ambulance"
43-5041,"Meter readers, utilities",20.1,17.7,-2.4,-12.0,1.3,,High school diploma or equivalent,,Short-term on-the-job training,49180.0,55810.0,33980.0,39620.0,68030.0,86480.0,23.64,26.83,16.34,19.05,32.71,41.58,19620.0,"Meter Readers, Utilities"
43-5051,Postal service clerks,74.2,71.6,-2.6,-3.5,6.1,,No formal educational credential,,Short-term on-the-job training,61630.0,61070.0,42600.0,55410.0,74050.0,74050.0,29.63,29.36,20.48,26.64,35.6,35.6,78060.0,Postal Service Clerks
43-5052,Postal service mail carriers,319.4,308.1,-11.3,-3.5,20.6,,No formal educational credential,,Short-term on-the-job training,57490.0,59880.0,42390.0,46030.0,75300.0,76880.0,27.64,28.79,20.38,22.13,36.2,36.96,336040.0,Postal Service Mail Carriers
43-5053,"Postal service mail sorters, processors, and processing machine operators",106.4,97.5,-8.9,-8.4,7.8,,No formal educational credential,,Short-term on-the-job training,56530.0,58310.0,42600.0,47380.0,72970.0,74050.0,27.18,28.04,20.48,22.78,35.08,35.6,111930.0,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
43-5061,"Production, planning, and expediting clerks",388.8,381.7,-7.1,-1.8,34.1,,High school diploma or equivalent,,Moderate-term on-the-job training,57770.0,60420.0,38570.0,46600.0,71480.0,84810.0,27.78,29.05,18.54,22.41,34.37,40.77,385000.0,"Production, Planning, and Expediting Clerks"
43-5071,"Shipping, receiving, and inventory clerks",862.2,795.8,-66.3,-7.7,69.3,0.6,High school diploma or equivalent,,Short-term on-the-job training,43190.0,44890.0,32900.0,37040.0,49390.0,60300.0,20.77,21.58,15.82,17.81,23.75,28.99,857630.0,"Shipping, Receiving, and Inventory Clerks"
43-5111,"Weighers, measurers, checkers, and samplers, recordkeeping",49.8,47.4,-2.4,-4.8,5.3,0.4,High school diploma or equivalent,,Short-term on-the-job training,45650.0,46660.0,34580.0,38650.0,53060.0,60120.0,21.95,22.43,16.63,18.58,25.51,28.9,49720.0,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
43-6011,Executive secretaries and executive administrative assistants,502.8,494.9,-7.9,-1.6,50.0,0.2,High school diploma or equivalent,Less than 5 years,,74260.0,77060.0,48300.0,60000.0,90440.0,107710.0,35.7,37.05,23.22,28.85,43.48,51.78,472770.0,Executive Secretaries and Executive Administrative Assistants
43-6012,Legal secretaries and administrative assistants,156.3,147.3,-9.0,-5.8,19.6,0.5,High school diploma or equivalent,,Moderate-term on-the-job training,54140.0,60320.0,35530.0,42720.0,72090.0,87660.0,26.03,29.0,17.08,20.54,34.66,42.15,154540.0,Legal Secretaries and Administrative Assistants
43-6013,Medical secretaries and administrative assistants,850.0,885.3,35.3,4.2,85.9,0.0,High school diploma or equivalent,,Moderate-term on-the-job training,44640.0,45580.0,35050.0,37880.0,49720.0,60050.0,21.46,21.91,16.85,18.21,23.9,28.87,830760.0,Medical Secretaries and Administrative Assistants
43-6014,"Secretaries and administrative assistants, except legal, medical, and executive",1944.0,1913.2,-30.8,-1.6,202.8,1.9,High school diploma or equivalent,,Short-term on-the-job training,46290.0,47640.0,31600.0,37770.0,55650.0,64150.0,22.26,22.9,15.19,18.16,26.76,30.84,1737820.0,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
43-9021,Data entry keyers,141.6,104.9,-36.7,-25.9,9.5,2.2,High school diploma or equivalent,,Short-term on-the-job training,39850.0,42070.0,30100.0,34900.0,47260.0,56930.0,19.16,20.22,14.47,16.78,22.72,27.37,135280.0,Data Entry Keyers
43-9022,Word processors and typists,40.0,25.6,-14.4,-36.1,2.2,7.5,High school diploma or equivalent,,Short-term on-the-job training,47850.0,49730.0,35300.0,39740.0,56000.0,64370.0,23.01,23.91,16.97,19.11,26.93,30.95,36030.0,Word Processors and Typists
43-9031,Desktop publishers,5.0,4.4,-0.6,-12.4,0.4,16.8,Associate's degree,,Short-term on-the-job training,53620.0,60250.0,34650.0,42680.0,71990.0,92880.0,25.78,28.97,16.66,20.52,34.61,44.66,4000.0,Desktop Publishers
43-9041,Insurance claims and policy processing clerks,256.7,247.2,-9.5,-3.7,20.3,0.5,High school diploma or equivalent,,Moderate-term on-the-job training,48450.0,51980.0,36900.0,41600.0,59500.0,73100.0,23.29,24.99,17.74,20.0,28.61,35.15,229070.0,Insurance Claims and Policy Processing Clerks
43-9051,"Mail clerks and mail machine operators, except postal service",67.4,62.9,-4.4,-6.6,6.9,2.1,High school diploma or equivalent,,Short-term on-the-job training,38150.0,40200.0,29460.0,34440.0,44940.0,52150.0,18.34,19.33,14.16,16.56,21.61,25.07,62730.0,"Mail Clerks and Mail Machine Operators, Except Postal Service"
43-9061,"Office clerks, general",2646.0,2468.2,-177.8,-6.7,282.4,0.5,High school diploma or equivalent,,Short-term on-the-job training,43630.0,45470.0,29120.0,35350.0,52560.0,63840.0,20.97,21.86,14.0,17.0,25.27,30.69,2510550.0,"Office Clerks, General"
43-9071,"Office machine operators, except computer",25.5,21.6,-3.9,-15.2,2.8,,High school diploma or equivalent,,Short-term on-the-job training,39020.0,41620.0,29850.0,34420.0,46680.0,56340.0,18.76,20.01,14.35,16.55,22.44,27.09,24740.0,"Office Machine Operators, Except Computer"
43-9081,Proofreaders and copy markers,12.0,11.9,-0.1,-0.6,1.9,31.2,Bachelor's degree,,,49210.0,52730.0,33530.0,38590.0,62380.0,78040.0,23.66,25.35,16.12,18.55,29.99,37.52,5160.0,Proofreaders and Copy Markers
43-9111,Statistical assistants,6.5,6.3,-0.2,-2.5,0.8,,Bachelor's degree,,,51440.0,55470.0,38050.0,45970.0,63620.0,79410.0,24.73,26.67,18.29,22.1,30.59,38.18,5900.0,Statistical Assistants
43-9199,"Office and administrative support workers, all other",232.9,214.8,-18.1,-7.8,21.3,9.8,High school diploma or equivalent,,Short-term on-the-job training,46040.0,48700.0,30480.0,35390.0,57500.0,71840.0,22.14,23.42,14.65,17.02,27.65,34.54,195890.0,"Office and Administrative Support Workers, All Other"
45-1011,"First-line supervisors of farming, fishing, and forestry workers",65.4,67.0,1.6,2.5,8.5,11.4,High school diploma or equivalent,Less than 5 years,,59330.0,63360.0,39610.0,47660.0,76640.0,90840.0,28.53,30.46,19.04,22.91,36.84,43.68,29530.0,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
